"Year","tagplot","finalid.phen","n.phen.umbel","n.lost.umbel","mean.bud.day","plantid","finalid.demo","n.demo.umbels","No.leaves","Leaf.length","Plot","trt","prev.umbels","prev.leaves","prev.length","cur.size","prev.flwd","finalid.seed","no.seeds"
2022,"3360_6","3360_6",2,1,126.5,"3360_6_12C","3360_6_12C",2,1,23.5,6,"irrigated",2,3,16,3.15700042115011,TRUE,"3360_6",0
2022,"3360_6","3360_6",2,1,126.5,"3360_6_12C","3360_6_12C",2,1,23.5,6,"irrigated",2,3,16,3.15700042115011,TRUE,"3360_6",186
2022,"3364_4","3364_4",3,1,120.666666666667,"3364_4_3H","3364_4_3H",3,4,18,4,"irrigated",0,5,15,4.27666611901606,FALSE,"3364_4",0
2022,"3364_4","3364_4",3,1,120.666666666667,"3364_4_3H","3364_4_3H",3,4,18,4,"irrigated",0,5,15,4.27666611901606,FALSE,"3364_4",128
2022,"3364_4","3364_4",3,1,120.666666666667,"3364_4_3H","3364_4_3H",3,4,18,4,"irrigated",0,5,15,4.27666611901606,FALSE,"3364_4",30
2022,"3365_1","3365_1",2,1,126.5,"3365_1_0J","3365_1_0J",2,3,10,1,"irrigated",0,2,11.5,3.40119738166216,FALSE,"3365_1",56
2022,"3365_1","3365_1",2,1,126.5,"3365_1_0J","3365_1_0J",2,3,10,1,"irrigated",0,2,11.5,3.40119738166216,FALSE,"3365_1",0
2022,"3366_14","3366_14",2,1,126.5,"3366_14_9C","3366_14_9C",2,3,15,14,"drought",0,2,16.5,3.80666248977032,FALSE,"3366_14",132
2022,"3366_14","3366_14",2,1,126.5,"3366_14_9C","3366_14_9C",2,3,15,14,"drought",0,2,16.5,3.80666248977032,FALSE,"3366_14",0
2022,"3367_13","3367_13",1,1,123,"3367_13_3H","3367_13_3H",1,2,7,13,"control",0,2,12.5,2.63905732961526,FALSE,"3367_13",0
2022,"3367_14","3367_14",4,2,124.75,"3367_14_15H","3367_14_15H",4,6,20.5,14,"drought",3,7,19,4.81218435537242,TRUE,"3367_14",62
2022,"3367_14","3367_14",4,2,124.75,"3367_14_15H","3367_14_15H",4,6,20.5,14,"drought",3,7,19,4.81218435537242,TRUE,"3367_14",102
2022,"3367_14","3367_14",4,2,124.75,"3367_14_15H","3367_14_15H",4,6,20.5,14,"drought",3,7,19,4.81218435537242,TRUE,"3367_14",0
2022,"3367_14","3367_14",4,2,124.75,"3367_14_15H","3367_14_15H",4,6,20.5,14,"drought",3,7,19,4.81218435537242,TRUE,"3367_14",0
2022,"3368_7","3368_7",1,0,144,"3368_7_7I","3368_7_7I",1,3,32,7,"drought",0,4,15,4.56434819146784,FALSE,"3368_7",20
2022,"3370_7","3370_7",1,1,151,"3370_7_2A","3370_7_2A",1,4,24.5,7,"drought",0,2,12,4.58496747867057,FALSE,"3370_7",0
2022,"3371_15","3371_15",3,0,125.333333333333,"3371_15_14C","3371_15_14C",3,7,20,15,"drought",1,4,11,4.9416424226093,TRUE,"3371_15",32
