"size.pre","size.cur","trt","p.size.cur","perturb.param"
0.7,4.3,"irrigated",2.36023023305685e-10,"flow_int"
0.7,4.4,"control",1.72815066007584e-10,"flow_int"
0.7,4.4,"drought",3.61195060233572e-09,"flow_int"
0.7,4.4,"irrigated",4.19241989830001e-11,"flow_int"
0.7,4.5,"control",3.06987924226407e-11,"flow_int"
0.7,4.5,"drought",7.45266869285459e-10,"flow_int"
0.7,4.5,"irrigated",6.86631630898883e-12,"flow_int"
0.7,4.6,"control",5.02816604551269e-12,"flow_int"
0.7,4.6,"drought",1.41785055051861e-10,"flow_int"
0.7,4.6,"irrigated",1.0368870885259e-12,"flow_int"
0.7,4.7,"control",7.59357973833818e-13,"flow_int"
0.7,4.7,"drought",2.48712564262134e-11,"flow_int"
0.7,4.7,"irrigated",1.44373589783689e-13,"flow_int"
0.7,4.8,"control",1.05738253421944e-13,"flow_int"
0.7,4.8,"drought",4.02266273380491e-12,"flow_int"
0.7,4.8,"irrigated",1.85350034708208e-14,"flow_int"
0.7,4.9,"control",1.35758282571788e-14,"flow_int"
0.7,4.9,"drought",5.99899012743828e-13,"flow_int"
0.7,4.9,"irrigated",2.19404846320934e-15,"flow_int"
