Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes,tag.pulled,problem.tag,,
2022,5,3196,4,D,6,18,2,25,SOS,2016,Maybe 2 plants,,,,
2022,5,3200,4,F,5,15,3,22,SOS,2016,,,,,
2022,5,3622,5,D,1,15,0,NA,NA,2017,,,,,
2022,5,5021,5,F,5,12.5,3,24,SOS,2021,,,,,
2022,5,3640,5,G,0,NA,NA,NA,NA,2017,NP. Tag accidentally pulled(was looking at wrong sheet. Keep an eye out for a plant here next year),1,1,,
2022,5,3484,5,H,1,18,0,NA,NA,2019,beside 5017,,,,
2022,5,3706,5,I,3,20,0,NA,NA,2017,,,,,
2022,5,3496,5,J,0,NA,NA,NA,NA,2019,NP. Tag pulled,1,,,
2022,5,3191,6,E,2,22.5,0,NA,NA,2016,,,,,
2022,5,3708,6,F,0,NA,NA,NA,NA,2017,NP,,,,
2022,5,5017,6,H,1,12.5,0,NA,NA,2021,besides 3484,,,,
2022,5,3941,7,B,5,22,0,NA,NA,2017,,,,,
2022,5,3684,7,E,2,18,0,NA,NA,2017,,,,,
2022,5,3120,7,G,4,19,0,NA,NA,2016,,,,,
2022,5,3714,7,G,2,19,0,NA,NA,2017,,,,,
2022,5,3592,7,J,0,NA,NA,NA,NA,2016,NP,,,,
2022,5,3803,8,A,NA,NA,NA,NA,NA,2017,NPNT,,,,
2022,5,3810,8,B,6,17,4,35.5,SOS,2017,,,,,
2022,5,3363,8,E,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,5,2055,8,F,3,13,1,21,3,2021,Tag is 5022,,1,,
2022,5,3034,8,G,1,15.5,0,NA,NA,2017,,,,,
2022,5,3644,8,H,2,19,1,42,5,2017,,,,,
2022,5,3198,9,B,2,10,2,27.5,SOS,2016,,,,,
2022,5,3330,9,B,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,5,3836,9,C,1,14,0,NA,NA,2016,,,,,
2022,5,3170,9,D,3,12.5,0,NA,NA,2016,,,,,
2022,5,3546,9,F,3,13,2,20,SOS,2017,,,,,
2022,5,3003,10,C,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,5,3362,10,F,0,NA,NA,NA,NA,2016,NP,,,,
2022,5,3896,10,F,3,12,2,23,SOS,2017,,,,,
2022,5,3329,10,H,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,5,5034,10,H,2,17,0,NA,NA,2021,,,,,
2022,5,3174,10,I,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,5,5033,10,I,0,NA,NA,NA,NA,2021,NP ,,,,
2022,5,3649,11,A,2,16,1,25,3.5,2017,,,,,
2022,5,3074,11,C,4,17,3,28,SOS,2017,,,,,
2022,5,3827,11,C,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,5,3471,11,D,0,NA,NA,NA,NA,2018,NP ,,,,
2022,5,3184,11,E,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,5,3807,11,H,1,15,0,NA,NA,2017,"2021: NPNT, maybe new tag 5023 or 5036. 2022: Found, and is 5023. Need to move data for 5023 in 2021 to this one ",,1,,
2022,5,5036,11,H,3,12,2,21,SOS,2021,definitely not 3807,,,,
2022,5,5023,11,I,NA,NA,NA,NA,NA,2021,"this one is actually tag 3807, tag pulled",1,1,,
2022,5,3615,11,J,3,20,2,29.5,SOS,2017,,,,,
2022,5,5045,12,B,4,24,1,31.5,2,2021,,,,,
2022,5,3516,12,C,5,15,2,27,SOS,2017,,,,,
2022,5,3040,12,D,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
