Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,2020notes
2020,12,3153,13,E,1,6.5,0,NA,NA,2019,removed
2020,12,3131,13,H,2,8.8,0,NA,NA,2019,
2020,12,3134,13,H,1,10.5,0,NA,NA,2019,
2020,12,3422,13,H,1,9.8,0,NA,NA,2020,
2020,12,3423,13,H,2,12.4,0,NA,NA,2020,
2020,12,3444,13,H,0,NA,NA,NA,NA,2018,no plant
2020,12,3369,14,C,1,7.4,0,NA,NA,2017,
2020,12,3419,14,C,1,4.2,0,NA,NA,2020,
2020,12,3439,14,G,1,4.2,0,NA,NA,2018,
2020,12,3578,15,A,1,8.2,1,12.2,2.2,2016,
2020,12,3049,15,B,1,9.1,0,NA,NA,?,
2020,12,3421,15,C,1,2.6,0,NA,NA,2020,
2020,12,3834,15,C,NA,NA,NA,NA,NA,2016,NPNT
2020,12,3366,15,D,1,8.8,0,NA,NA,2017,part eaten
2020,12,3354,15,G,1,10.5,0,NA,NA,2016,umbel eaten
2020,12,3129,15,H,2,14.1,0,NA,NA,2019,
2020,12,3414,15,H,2,12.7,0,NA,NA,2020,
2020,12,3146,16,B,1,5,0,NA,NA,2019,
2020,12,3140,16,C,2,4.9,0,NA,NA,2019,
2020,12,3149,16,C,2,5.7,0,NA,NA,2019,
2020,12,3394,16,C,1,6.4,0,NA,NA,2017,
2020,12,3410,16,C,2,5,0,NA,NA,2020,
2020,12,3376,16,E,1,6.7,0,NA,NA,2017,
2020,12,3413,16,I,1,11.8,0,NA,NA,2020,
